date,month,sku_id,product_name,brand,category,market,channel,promo_id,gross_units,return_units,net_units,baseline_units,list_price_eur,discount_pct,gross_revenue_eur,return_value_eur,discount_value_eur,net_revenue_eur,cogs_eur,gross_profit_eur
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,North,Grocery,,49,0,49,49,2.31,0.0,113.19,0.0,0.0,113.19,37.24,75.95
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,North,Convenience,,25,0,25,25,2.31,0.0,57.75,0.0,0.0,57.75,19.0,38.75
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,North,Ecommerce,,26,1,25,26,2.31,0.0,60.06,2.31,0.0,57.75,19.0,38.75
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,North,Wholesale,,43,0,43,43,2.31,0.0,99.33,0.0,0.0,99.33,32.68,66.65
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,South,Grocery,,33,0,33,33,2.068,0.0,68.24,0.0,0.0,68.24,25.08,43.16
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,South,Convenience,,23,0,23,23,2.068,0.0,47.56,0.0,0.0,47.56,17.48,30.08
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,South,Ecommerce,,24,1,23,24,2.068,0.0,49.63,2.07,0.0,47.56,17.48,30.08
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,South,Wholesale,,33,0,33,33,2.068,0.0,68.24,0.0,0.0,68.24,25.08,43.16
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,Central,Grocery,,43,0,43,43,2.2,0.0,94.6,0.0,0.0,94.6,32.68,61.92
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,Central,Convenience,,32,0,32,32,2.2,0.0,70.4,0.0,0.0,70.4,24.32,46.08
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,Central,Ecommerce,,28,1,27,28,2.2,0.0,61.6,2.2,0.0,59.4,20.52,38.88
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,Central,Wholesale,,46,0,46,46,2.2,0.0,101.2,0.0,0.0,101.2,34.96,66.24
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,West,Grocery,,34,0,34,34,2.134,0.0,72.56,0.0,0.0,72.56,25.84,46.72
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,West,Convenience,,21,0,21,21,2.134,0.0,44.81,0.0,0.0,44.81,15.96,28.85
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,West,Ecommerce,,18,1,17,18,2.134,0.0,38.41,2.13,0.0,36.28,12.92,23.36
2025-01-01,2025-01,SKU-01,Aster Sparkling,Aster,Hydration,West,Wholesale,,30,0,30,30,2.134,0.0,64.02,0.0,0.0,64.02,22.8,41.22
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,North,Grocery,,56,0,56,56,1.89,0.0,105.84,0.0,0.0,105.84,34.72,71.12
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,North,Convenience,,31,0,31,31,1.89,0.0,58.59,0.0,0.0,58.59,19.22,39.37
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,North,Ecommerce,,30,1,29,30,1.89,0.0,56.7,1.89,0.0,54.81,17.98,36.83
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,North,Wholesale,,47,0,47,47,1.89,0.0,88.83,0.0,0.0,88.83,29.14,59.69
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,South,Grocery,,43,0,43,43,1.692,0.0,72.76,0.0,0.0,72.76,26.66,46.1
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,South,Convenience,,31,0,31,31,1.692,0.0,52.45,0.0,0.0,52.45,19.22,33.23
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,South,Ecommerce,,23,1,22,23,1.692,0.0,38.92,1.69,0.0,37.22,13.64,23.58
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,South,Wholesale,,35,0,35,35,1.692,0.0,59.22,0.0,0.0,59.22,21.7,37.52
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,Central,Grocery,,61,1,60,61,1.8,0.0,109.8,1.8,0.0,108.0,37.2,70.8
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,Central,Convenience,,38,0,38,38,1.8,0.0,68.4,0.0,0.0,68.4,23.56,44.84
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,Central,Ecommerce,,28,1,27,28,1.8,0.0,50.4,1.8,0.0,48.6,16.74,31.86
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,Central,Wholesale,,42,0,42,42,1.8,0.0,75.6,0.0,0.0,75.6,26.04,49.56
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,West,Grocery,,38,0,38,38,1.746,0.0,66.35,0.0,0.0,66.35,23.56,42.79
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,West,Convenience,,26,0,26,26,1.746,0.0,45.4,0.0,0.0,45.4,16.12,29.28
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,West,Ecommerce,,22,1,21,22,1.746,0.0,38.41,1.75,0.0,36.67,13.02,23.65
2025-01-01,2025-01,SKU-02,Aster Still,Aster,Hydration,West,Wholesale,,36,0,36,36,1.746,0.0,62.86,0.0,0.0,62.86,22.32,40.54
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,North,Grocery,,32,0,32,32,2.73,0.0,87.36,0.0,0.0,87.36,29.76,57.6
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,North,Convenience,,21,0,21,21,2.73,0.0,57.33,0.0,0.0,57.33,19.53,37.8
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,North,Ecommerce,,21,1,20,21,2.73,0.0,57.33,2.73,0.0,54.6,18.6,36.0
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,North,Wholesale,,35,0,35,35,2.73,0.0,95.55,0.0,0.0,95.55,32.55,63.0
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,South,Grocery,,32,0,32,32,2.444,0.0,78.21,0.0,0.0,78.21,29.76,48.45
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,South,Convenience,,19,0,19,19,2.444,0.0,46.44,0.0,0.0,46.44,17.67,28.77
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,South,Ecommerce,,19,1,18,19,2.444,0.0,46.44,2.44,0.0,43.99,16.74,27.25
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,South,Wholesale,,30,0,30,30,2.444,0.0,73.32,0.0,0.0,73.32,27.9,45.42
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,Central,Grocery,,43,0,43,43,2.6,0.0,111.8,0.0,0.0,111.8,39.99,71.81
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,Central,Convenience,,21,0,21,21,2.6,0.0,54.6,0.0,0.0,54.6,19.53,35.07
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,Central,Ecommerce,,25,1,24,25,2.6,0.0,65.0,2.6,0.0,62.4,22.32,40.08
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,Central,Wholesale,,37,0,37,37,2.6,0.0,96.2,0.0,0.0,96.2,34.41,61.79
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,West,Grocery,,29,0,29,29,2.522,0.0,73.14,0.0,0.0,73.14,26.97,46.17
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,West,Convenience,,18,0,18,18,2.522,0.0,45.4,0.0,0.0,45.4,16.74,28.66
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,West,Ecommerce,,14,0,14,14,2.522,0.0,35.31,0.0,0.0,35.31,13.02,22.29
2025-01-01,2025-01,SKU-03,Vela Citrus,Vela,Hydration,West,Wholesale,,22,0,22,22,2.522,0.0,55.48,0.0,0.0,55.48,20.46,35.02
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,North,Grocery,,32,0,32,32,2.835,0.0,90.72,0.0,0.0,90.72,31.04,59.68
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,North,Convenience,,18,0,18,18,2.835,0.0,51.03,0.0,0.0,51.03,17.46,33.57
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,North,Ecommerce,,20,1,19,20,2.835,0.0,56.7,2.84,0.0,53.87,18.43,35.44
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,North,Wholesale,,27,0,27,27,2.835,0.0,76.55,0.0,0.0,76.55,26.19,50.36
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,South,Grocery,,28,0,28,28,2.538,0.0,71.06,0.0,0.0,71.06,27.16,43.9
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,South,Convenience,,19,0,19,19,2.538,0.0,48.22,0.0,0.0,48.22,18.43,29.79
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,South,Ecommerce,,19,1,18,19,2.538,0.0,48.22,2.54,0.0,45.68,17.46,28.22
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,South,Wholesale,,22,0,22,22,2.538,0.0,55.84,0.0,0.0,55.84,21.34,34.5
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,Central,Grocery,,37,0,37,37,2.7,0.0,99.9,0.0,0.0,99.9,35.89,64.01
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,Central,Convenience,,20,0,20,20,2.7,0.0,54.0,0.0,0.0,54.0,19.4,34.6
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,Central,Ecommerce,,19,1,18,19,2.7,0.0,51.3,2.7,0.0,48.6,17.46,31.14
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,Central,Wholesale,,32,0,32,32,2.7,0.0,86.4,0.0,0.0,86.4,31.04,55.36
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,West,Grocery,,26,0,26,26,2.619,0.0,68.09,0.0,0.0,68.09,25.22,42.87
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,West,Convenience,,15,0,15,15,2.619,0.0,39.29,0.0,0.0,39.29,14.55,24.74
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,West,Ecommerce,,14,1,13,14,2.619,0.0,36.67,2.62,0.0,34.05,12.61,21.44
2025-01-01,2025-01,SKU-04,Vela Berry,Vela,Hydration,West,Wholesale,,21,0,21,21,2.619,0.0,55.0,0.0,0.0,55.0,20.37,34.63
2025-01-01,2025-01,SKU-05,Luma Oats,Luma,Breakfast,North,Grocery,,30,0,30,30,3.99,0.0,119.7,0.0,0.0,119.7,43.2,76.5
2025-01-01,2025-01,SKU-05,Luma Oats,Luma,Breakfast,North,Convenience,,21,0,21,21,3.99,0.0,83.79,0.0,0.0,83.79,30.24,53.55
2025-01-01,2025-01,SKU-05,Luma Oats,Luma,Breakfast,North,Ecommerce,,19,1,18,19,3.99,0.0,75.81,3.99,0.0,71.82,25.92,45.9
2025-01-01,2025-01,SKU-05,Luma Oats,Luma,Breakfast,North,Wholesale,,28,0,28,28,3.99,0.0,111.72,0.0,0.0,111.72,40.32,71.4
2025-01-01,2025-01,SKU-05,Luma Oats,Luma,Breakfast,South,Grocery,,24,0,24,24,3.572,0.0,85.73,0.0,0.0,85.73,34.56,51.17
2025-01-01,2025-01,SKU-05,Luma Oats,Luma,Breakfast,South,Convenience,,15,0,15,15,3.572,0.0,53.58,0.0,0.0,53.58,21.6,31.98
2025-01-01,2025-01,SKU-05,Luma Oats,Luma,Breakfast,South,Ecommerce,,13,1,12,13,3.572,0.0,46.44,3.57,0.0,42.86,17.28,25.58
2025-01-01,2025-01,SKU-05,Luma Oats,Luma,Breakfast,South,Wholesale,,26,0,26,26,3.572,0.0,92.87,0.0,0.0,92.87,37.44,55.43
